Date,AJK,Balochistan,KPK,GB,Sindh,Punjab,ICT
"Mar 31, 2020",6,158,253,184,676,708,54
"Apr 1, 2020",9,169,274,187,743,845,62
"Apr 2, 2020",9,169,311,190,783,920,68
"Apr 3, 2020",11,175,343,193,839,1072,75
"Apr 4, 2020",12,185,372,206,864,1163,78
"Apr 5, 2020",15,191,415,210,881,1493,82
"Apr 6, 2020",18,202,500,211,932,1918,83
"Apr 7, 2020",19,206,529,212,986,2030,92
"Apr 8, 2020",28,212,555,213,1036,2171,102
"Apr 9, 2020",33,219,617,215,1128,2279,107
"Apr 10, 2020",34,220,652,215,1214,2336,113
"Apr 11, 2020",35,228,697,216,1318,2425,119
"Apr 12, 2020",40,230,744,224,1411,2594,131
"Apr 13, 2020",43,231,800,233,1452,2826,131
"Apr 14, 2020",46,240,862,234,1518,2945,140
"Apr 15, 2020",46,280,935,237,1668,3217,145
"Apr 16, 2020",46,303,984,245,2008,3276,154
"Apr 17, 2020",48,335,1075,250,2217,3391,163
"Apr 18, 2020",48,376,1137,257,2355,3649,171
"Apr 19, 2020",49,432,1237,263,2537,3721,181
"Apr 20, 2020",50,465,1276,281,2764,4195,185
"Apr 21, 2020",51,495,1367,283,3053,4328,194
"Apr 22, 2020",51,552,1453,290,3373,4590,204
"Apr 23, 2020",55,607,1541,300,3671,4767,214
"Apr 24, 2020",55,656,1708,307,3945,5046,223
"Apr 25, 2020",55,722,1793,308,4232,5378,235
"Apr 26, 2020",59,781,1864,318,4615,5446,245